path,category,flavor,tracked_status,top_level_keys,n_scalar_params,seed_keys,hardware_keys
configs/embedding/gemini_embedding2_v3_main.local.example.json,embedding,example,tracked,api_key;api_key_file;cache_dir;dry_run;limit;max_seconds;max_workers;metadata;model_id;out;output_dimensionality;skip_errors;target_sample_rate;task_type;vertex_location;vertex_project;vertexai,17,,vertexai=False;vertex_project=None;vertex_location=None;max_workers=8
configs/embedding/gemini_embedding2_v3_main.local.json,embedding,local,local_or_ignored,api_key;api_key_file;cache_dir;dry_run;limit;max_seconds;max_workers;metadata;model_id;out;output_dimensionality;skip_errors;target_sample_rate;task_type;vertex_location;vertex_project;vertexai,17,,vertexai=False;vertex_project=None;vertex_location=None;max_workers=8
configs/embedding/gemini_embedding2_v3_main_multiwindow.example.json,embedding,example,tracked,api_key;api_key_file;cache_dir;dry_run;limit;max_seconds;max_workers;metadata;model_id;out;output_dimensionality;skip_errors;target_sample_rate;task_type;vertex_location;vertex_project;vertexai;window_aggregate;window_count;window_strategy,20,,vertexai=False;vertex_project=None;vertex_location=None;max_workers=8
configs/embedding/gemini_embedding2_v3_main_multiwindow.local.example.json,embedding,example,tracked,api_key;api_key_file;cache_dir;dry_run;limit;max_seconds;max_workers;metadata;model_id;out;output_dimensionality;skip_errors;target_sample_rate;task_type;vertex_location;vertex_project;vertexai;window_aggregate;window_count;window_strategy,20,,vertexai=False;vertex_project=None;vertex_location=None;max_workers=8
configs/pal/pal_v2_main_gemini_real.example.json,pal,example,tracked,annotations_csv;baseline_model;batch_size;bootstrap_samples;constraint_margin;epochs;epsilon;interactions;iters;k;lambda_constraints;lambda_contrast;lambda_cov;lambda_domain;lr;metadata;mode;model_dir;out_dir;permutation_samples;prefer_cuda;seed;tracks,23,seed,prefer_cuda=False
configs/pal/pal_v2_main_gemini_simulated.example.json,pal,example,tracked,artifacts_dir;baseline_model;batch_size;bootstrap_samples;constraint_margin;epochs;epsilon;interactions;iters;k;label_col;lambda_constraints;lambda_contrast;lambda_cov;lambda_domain;lr;metadata;mode;model_dir;out_dir;permutation_samples;prefer_cuda;rounds;seed;tasks_per_round;tracks;uncertainty_method,27,seed,prefer_cuda=False
configs/pal/pal_v2_main_gemini_simulated.run.json,pal,run,local_or_ignored,artifacts_dir;baseline_model;batch_size;bootstrap_samples;constraint_margin;epochs;epsilon;interactions;iters;k;label_col;lambda_constraints;lambda_contrast;lambda_cov;lambda_domain;lr;metadata;mode;model_dir;out_dir;permutation_samples;prefer_cuda;rounds;seed;tasks_per_round;tracks;uncertainty_method,27,seed,prefer_cuda=False
configs/pal/pal_v2_main_gemini_tasks.example.json,pal,example,tracked,annotation_sheet_path;baseline_model;interactions;metadata;mode;prefer_cuda;tasks_path;tasks_per_round;tracks;uncertainty_method,10,,prefer_cuda=False
configs/pal/pal_v2_main_gemini_tasks.run.json,pal,run,local_or_ignored,annotation_sheet_path;baseline_model;interactions;metadata;mode;prefer_cuda;tasks_path;tasks_per_round;tracks;uncertainty_method,10,,prefer_cuda=False
configs/pal/pal_v3_main_gemini_real.example.json,pal,example,tracked,annotations_csv;baseline_model;batch_size;bootstrap_samples;constraint_margin;epochs;epsilon;interactions;iters;k;lambda_constraints;lambda_contrast;lambda_cov;lambda_domain;lr;metadata;mode;model_dir;out_dir;permutation_samples;prefer_cuda;seed;tracks,23,seed,prefer_cuda=False
configs/pal/pal_v3_main_gemini_real.run.json,pal,run,local_or_ignored,annotations_csv;baseline_model;batch_size;bootstrap_samples;constraint_margin;epochs;epsilon;interactions;iters;k;lambda_constraints;lambda_contrast;lambda_cov;lambda_domain;lr;metadata;mode;model_dir;out_dir;permutation_samples;prefer_cuda;seed;tracks,23,seed,prefer_cuda=False
configs/pal/pal_v3_main_gemini_tasks.example.json,pal,example,tracked,annotation_sheet_path;baseline_model;interactions;metadata;mode;prefer_cuda;tasks_path;tasks_per_round;tracks;uncertainty_method,10,,prefer_cuda=False
